"number","category","subcategory"
"INC0300068","Password loss or expired",""
"INC0300067","Degraded Service",""
"INC0300066","Assistance",""
"INC0300065","Degraded Service",""
"INC0300064","Degraded Service",""
"INC0300063","Degraded Service",""
"INC0300061","Assistance",""
"INC0300060","Assistance",""
"INC0300059","Degraded Service",""
"INC0300058","Degraded Service",""
"INC0300057","Degraded Service",""
"INC0300056","Degraded Service",""
"INC0300054","Degraded Service",""
"INC0300053","Information",""
"INC0300052","",""
"INC0300051","Degraded Service",""
"INC0300050","Degraded Service",""
"INC0300049","Degraded Service",""
"INC0300048","BitLocker",""
"INC0300047","Assistance",""
"INC0300046","Access rights",""
"INC0300044","Assistance",""
"INC0300045","Degraded Service",""
"INC0300043","",""
"INC0300042","Degraded Service",""
"INC0300041","Degraded Service",""
"INC0300040","Degraded Service",""
"INC0300039","Degraded Service",""
"INC0300038","Access rights",""
"INC0300037","Degraded Service",""
"INC0300036","Degraded Service",""
"INC0300035","Hardware",""
"INC0300034","Degraded Service",""
"INC0300033","Access rights",""
"INC0300032","Degraded Service",""
"INC0300031","Degraded Service",""
"INC0300030","Degraded Service",""
"INC0300029","Account Locked",""
"INC0300028","Degraded Service",""
"INC0300027","Degraded Service",""
"INC0300026","Degraded Service",""
"INC0300025","BitLocker",""
"INC0300024","Degraded Service",""
"INC0300023","Degraded Service",""
"INC0300022","Degraded Service",""
"INC0300021","Degraded Service",""
"INC0300020","Degraded Service",""
"INC0300019","Access rights",""
"INC0300018","Degraded Service",""
"INC0300017","Hardware",""
"INC0300016","Degraded Service",""
"INC0300015","Degraded Service",""
"INC0300014","Degraded Service",""
"INC0300013","Degraded Service",""
"INC0300012","Assistance",""
"INC0300011","",""
"INC0300010","Degraded Service",""
"INC0300009","Degraded Service",""
"INC0300008","Degraded Service",""
"INC0300007","Assistance",""
"INC0300006","Degraded Service",""
"INC0300005","Degraded Service",""
"INC0300004","Hardware",""
"INC0300003","Degraded Service",""
"INC0300002","Degraded Service",""
"INC0300001","Hardware",""
"INC0300000","Degraded Service",""
"INC0299999","Hardware",""
"INC0299998","Degraded Service",""
"INC0299997","Degraded Service",""
"INC0299996","Hardware",""
"INC0299995","Information",""
"INC0299994","Degraded Service",""
"INC0299993","Degraded Service",""
"INC0299992","Degraded Service",""
"INC0299991","Assistance",""
"INC0299990","Degraded Service",""
"INC0299989","Degraded Service",""
"INC0299988","Degraded Service",""
"INC0299987","Access rights",""
"INC0299986","Assistance",""
"INC0299985","Hardware issue",""
"INC0299984","Degraded Service",""
"INC0299983","Degraded Service",""
"INC0299982","Assistance",""
"INC0299981","Assistance",""
"INC0299980","BitLocker",""
"INC0299979","Degraded Service",""
"INC0299978","Hardware",""
"INC0299977","Degraded Service",""
"INC0299975","Hardware",""
"INC0299974","Degraded Service",""
"INC0299973","Hardware",""
"INC0299972","Degraded Service",""
"INC0299971","Degraded Service",""
"INC0299970","Degraded Service",""
"INC0299969","Degraded Service",""
"INC0299968","Degraded Service",""
"INC0299967","Degraded Service",""
"INC0299966","Degraded Service",""
"INC0299965","Degraded Service",""
"INC0299964","Degraded Service",""
"INC0299963","Degraded Service",""
"INC0299962","Degraded Service",""
"INC0299961","Degraded Service",""
"INC0299960","Degraded Service",""
"INC0299959","Assistance",""
"INC0299958","Degraded Service",""
"INC0299957","Degraded Service",""
"INC0299956","Degraded Service",""
"INC0299955","Degraded Service",""
"INC0299954","Degraded Service",""
"INC0299953","Degraded Service",""
"INC0299952","Degraded Service",""
"INC0299951","Degraded Service",""
"INC0299950","Degraded Service",""
"INC0299949","Degraded Service",""
"INC0299948","Degraded Service",""
"INC0299947","Degraded Service",""
"INC0299946","Degraded Service",""
"INC0299945","Degraded Service",""
"INC0299944","Degraded Service",""
"INC0299943","Degraded Service",""
"INC0299942","Degraded Service",""
"INC0299941","Degraded Service",""
"INC0299940","Degraded Service",""
"INC0299939","Degraded Service",""
"INC0299938","Degraded Service",""
"INC0299937","Degraded Service",""
"INC0299936","Degraded Service",""
"INC0299935","Degraded Service",""
"INC0299934","Degraded Service",""
"INC0299933","Degraded Service",""
"INC0299932","Degraded Service",""
"INC0299931","Degraded Service",""
"INC0299930","Degraded Service",""
"INC0299929","Degraded Service",""
"INC0299928","Degraded Service",""
"INC0299927","Degraded Service",""
"INC0299926","Degraded Service",""
"INC0299925","Degraded Service",""
"INC0299924","Degraded Service",""
"INC0299923","Degraded Service",""
"INC0299922","Degraded Service",""
"INC0299921","Degraded Service",""
"INC0299920","Degraded Service",""
"INC0299919","Degraded Service",""
"INC0299918","Degraded Service",""
"INC0299917","Degraded Service",""
"INC0299916","Degraded Service",""
"INC0299915","Degraded Service",""
"INC0299914","Degraded Service",""
"INC0299913","Degraded Service",""
"INC0299912","Degraded Service",""
"INC0299911","Degraded Service",""
"INC0299910","Degraded Service",""
"INC0299909","Degraded Service",""
"INC0299908","Degraded Service",""
"INC0299907","Degraded Service",""
"INC0299906","Degraded Service",""
"INC0299905","Degraded Service",""
"INC0299904","Degraded Service",""
"INC0299903","Degraded Service",""
"INC0299902","Degraded Service",""
"INC0299901","Degraded Service",""
"INC0299900","Degraded Service",""
"INC0299899","Degraded Service",""
"INC0299898","Degraded Service",""
"INC0299897","Degraded Service",""
"INC0299896","Degraded Service",""
"INC0299895","Degraded Service",""
"INC0299894","Degraded Service",""
"INC0299893","Degraded Service",""
"INC0299892","Degraded Service",""
"INC0299891","Degraded Service",""
"INC0299890","Degraded Service",""
"INC0299889","Degraded Service",""
"INC0299888","Degraded Service",""
"INC0299887","Degraded Service",""
"INC0299886","Degraded Service",""
"INC0299885","Degraded Service",""
"INC0299884","Degraded Service",""
"INC0299883","Hardware",""
