"sys_id","name","city","state","country","latitude","longitude","parent"
"a16a6c4e85bf7210b210b11f4b121bea","Association Conday HQ","Kidal","","Mali | Mali","","",""
"7b87cb7169d7325074141fba7a07b72d","Association for community development HQ","Nyamilima","","Democratic Republic of the Congo | Congo","","",""
"4c3c2cc285ff7210b210b11f4b121b26","Association Hir Yan Hir Koungoun HQ","Kidal","","Mali | Mali","","",""
"dbd0ebf6b4f636105df6d7bd6a2ce4a0","ASSOCIATION OF TSAKUN TOM-BROWN DEALER'S MUDA-MUBI  ADAMAWA HQ","Mubi South LGA","Adamawa State","Nigeria | Nigéria","","",""
"e060f093ec5fc510078a8ddfae39e0c8","Astana","","","","51.12818","51.12818","Tachkent"
"ec60f093ec5fc510078a8ddfae39e0ce","Astana","","","","","","Afghanistan"
"a3603893ec5fc510078a8ddfae39e05e","Astana SD","","","","51.130492","71.428622","Tachkent"
"6c60f093ec5fc510078a8ddfae39e0cf","Asuncion","","","","-25.2968526","-57.5980891","Brasilia"
"e860f093ec5fc510078a8ddfae39e0d0","Atambua","","","","","","Indonésie"
"6c60f093ec5fc510078a8ddfae39e0d1","Athenes","","","","37.979535","23.73335","Athenes"
"8660b493ec5fc510078a8ddfae39e065","Athira","","","","0","0","Kinseka"
"d5703c93ec5fc510078a8ddfae39e026","Australie","","","","","","Asia and the Pacific region"
"95703c93ec5fc510078a8ddfae39e00c","Autriche","","","","","","Europe and Central Asia region"
"0de545da78757510a79488cb25b6ba31","Autriche-Hongrie","","","","","",""
"ec60f093ec5fc510078a8ddfae39e0d3","Aux - Réservé Windows","","","","","","Suisse"
"8660b493ec5fc510078a8ddfae39e029","Avertir Par Fax","","","","","","Suisse"
"6860f093ec5fc510078a8ddfae39e0d6","Awash","","","","","","Éthiopie"
"6c60f093ec5fc510078a8ddfae39e0d4","Awassa","","","","","","Éthiopie"
"e860f093ec5fc510078a8ddfae39e0d5","Aweil","","","","","","Soudan"
"e460f093ec5fc510078a8ddfae39e0d7","Axum","","","","","","Éthiopie"
"e0603493ec5fc510078a8ddfae39e023","Ayacucho","","","","-13.17253","-74.221046","Lima"
"5d703c93ec5fc510078a8ddfae39e028","Azerbaïdjan","","","","","","Europe and Central Asia region"
"cf34c8bfc9a0e21050402dba9ef4d033","Azerbaïdjan - Mobile","","","","","","Europe and Central Asia region"
"e1f39474fc6be65057be12e3ce1d881d","Azerbaijan","","","","","","Europe and Central Asia region"
"a4603493ec5fc510078a8ddfae39e024","Azraq","","","","31.905133","36.5910194","Amman"
"1aed8eacb49776145df6d7bd6a2ce487","BAA PWDF_Battambang Persons with Disabilities Foundation HQ","Battambang","","Cambodia | Cambodge","","",""
"b0603493ec5fc510078a8ddfae39e07e","Baalbek","","","","","","Liban"
"34603493ec5fc510078a8ddfae39e042","Bacolod","","","","10.65171","122.959658","Manila"
"0de545da78757510a79488cb25b6ba43","Bade","","","","","",""
"28603493ec5fc510078a8ddfae39e02b","Bafata","","","","","","Guinée-Bissau"
"f8603493ec5fc510078a8ddfae39e05a","Baga Sola","","","","13.53835","14.316358","N'djamena"
"f0603493ec5fc510078a8ddfae39e057","Baganga","","","","7.574615","126.562205","Manila"
"74603493ec5fc510078a8ddfae39e058","Bagdad Centre","","","","33.308643","44.440612","Baghdad"
"a8603493ec5fc510078a8ddfae39e02c","Baghdad","","","","33.316645","44.386499","Baghdad"
"64603493ec5fc510078a8ddfae39e025","Baghdad Annex01","","","","","","Irak"
"55703c93ec5fc510078a8ddfae39e052","Bahamas","","","","","","The Americas region"
"68603493ec5fc510078a8ddfae39e02d","Bahir Dar","","","","11.595616","37.380699","Addis Abeba"
"488cd4c3847f7650edc2850207094f5b","Bahir Dar Physical Rehabilitation Center","Bahir Dar","Amhara Region","Ethiopia","","",""
"91703c93ec5fc510078a8ddfae39e031","Bahrein","","","","","","Near and Middle East region"
"a4603493ec5fc510078a8ddfae39e029","Baidoa","","","","3.116423","43.649695","Somalie-nairobi"
"a8603493ec5fc510078a8ddfae39e03a","Bailundo","","","","","","Angola"
"f0603493ec5fc510078a8ddfae39e068","Bajil","","","","15.063208","43.285005","Hodeida"
"e4603493ec5fc510078a8ddfae39e030","Baku","","","","40.39969","49.8459","Baku"
"8a60b493ec5fc510078a8ddfae39e024","Baku Airport","","","","0","0","Baku"
